Distance,mag88t_Measureline.grd,EMAG2_V3_20170530_Ã·»°4km.grd
3016.632775149,143.2706197119,50.175376855624
3040.2002187049,143.76791399589,49.749883554781
3063.7676622607,144.26402062854,49.324219331826
3087.3351058166,144.7589395636,48.898384180148
3110.9025493724,145.2526707549,48.472378093051
3134.4699929283,145.74521415624,48.046201063874
3158.0374364841,146.23656972138,47.619853086004
3181.60488004,146.72673740415,47.193334152748
3205.1723235958,147.21571715833,46.766644257474
3228.7397671517,147.05188139647,46.339783393509
3252.3072107075,146.73248249167,45.912751554224
3275.8746542634,146.40870323565,45.485548732963
3299.4420978192,146.08054345791,45.058174923031
3323.0095413751,145.74800298801,44.63063011782
3346.5769849309,145.41108165546,44.202914310651
3370.1444284868,145.06977928987,43.775027494935
3393.7118720426,144.72409572071,43.346969663919
3417.2793155985,144.3740307776,42.918740811015
